position_id,direction,entry_time,entry_price,entry_lots,exit_time,exit_price,pnl
225558144,LONG,2026-04-14 10:41:01+00:00,4779.52,0.01,2026-04-14 10:55:01+00:00,4775.36,-3.5300000000000002
225559879,SHORT,2026-04-14 10:55:01+00:00,4775.39,0.01,2026-04-14 11:07:01+00:00,4782.06,-5.66
225561621,LONG,2026-04-14 11:07:01+00:00,4782.06,0.01,2026-04-14 11:22:00+00:00,4778.2,-3.2800000000000002
225563603,SHORT,2026-04-14 11:22:00+00:00,4778.2,0.01,2026-04-14 11:27:00+00:00,4783.79,-4.75
225564434,LONG,2026-04-14 11:27:00+00:00,4783.79,0.01,2026-04-14 11:44:00+00:00,4783.93,0.12
225566723,SHORT,2026-04-14 11:44:00+00:00,4783.93,0.01,2026-04-14 12:01:01+00:00,4787.47,-3.0
225569070,LONG,2026-04-14 12:01:01+00:00,4787.47,0.01,2026-04-14 12:07:00+00:00,4782.2,-4.47
225569839,SHORT,2026-04-14 12:07:00+00:00,4782.2,0.01,2026-04-14 12:13:00+00:00,4784.99,-2.37
225570634,LONG,2026-04-14 12:13:00+00:00,4784.99,0.01,2026-04-14 12:29:01+00:00,4781.36,-3.08
225572717,SHORT,2026-04-14 12:29:01+00:00,4781.45,0.01,2026-04-14 12:47:01+00:00,4777.69,3.19
